Size      | standart            | binary              
1000      | 0.000030680000000   | 0.000002000000000   
2000      | 0.000028680000000   | 0.000002120000000   
3000      | 0.000076160000000   | 0.000002660000000   
4000      | 0.000151260000000   | 0.000003180000000   
5000      | 0.000106200000000   | 0.000002940000000   
6000      | 0.000200240000000   | 0.000003660000000   
7000      | 0.000007400000000   | 0.000002880000000   
8000      | 0.000048600000000   | 0.000003000000000   
9000      | 0.000380740000000   | 0.000003940000000   
